artifact,family,stage,role,tracked_in_git,purpose,claims_resting_on_it,training_split,evaluated_on_split,number_of_predictors,validation_pr_auc,validation_roc_auc,best_iteration,maximum_estimators,estimator_cap_reached,early_stopping_triggered,test_evaluated,metrics_manifest_found,metadata_manifest_found,limitations,not_suitable_for
ablation/lightgbm_ablation_card1__loo_prior_count_24h_cap15000_seed1337.txt,ablation_cell,B1,ablation_panel,False,One cell of the per-feature ablation localising which of the four card1 summaries carries the gain. Singleton cells add one feature to the baseline; leave-one-out cells remove one from the full set.,"The published redundancy verdict, since superseded by the fixed-budget refits; kept as the argmax endpoint of the bracket",train,validation,438.0,0.6579053593607991,0.9250855842626398,6807.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
ablation/lightgbm_ablation_card1__loo_prior_count_24h_cap15000_seed202.txt,ablation_cell,B1,ablation_panel,False,One cell of the per-feature ablation localising which of the four card1 summaries carries the gain. Singleton cells add one feature to the baseline; leave-one-out cells remove one from the full set.,"The published redundancy verdict, since superseded by the fixed-budget refits; kept as the argmax endpoint of the bracket",train,validation,438.0,0.6578228949589152,0.9247657306221687,8486.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
ablation/lightgbm_ablation_card1__loo_prior_count_24h_cap15000_seed2024.txt,ablation_cell,B1,ablation_panel,False,One cell of the per-feature ablation localising which of the four card1 summaries carries the gain. Singleton cells add one feature to the baseline; leave-one-out cells remove one from the full set.,"The published redundancy verdict, since superseded by the fixed-budget refits; kept as the argmax endpoint of the bracket",train,validation,438.0,0.6549407620938974,0.9242720056357021,7212.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
ablation/lightgbm_ablation_card1__loo_prior_count_24h_cap15000_seed42.txt,ablation_cell,B1,ablation_panel,False,One cell of the per-feature ablation localising which of the four card1 summaries carries the gain. Singleton cells add one feature to the baseline; leave-one-out cells remove one from the full set.,"The published redundancy verdict, since superseded by the fixed-budget refits; kept as the argmax endpoint of the bracket",train,validation,438.0,0.660982131779961,0.9251179735317875,8219.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
ablation/lightgbm_ablation_card1__loo_prior_count_24h_cap15000_seed707.txt,ablation_cell,B1,ablation_panel,False,One cell of the per-feature ablation localising which of the four card1 summaries carries the gain. Singleton cells add one feature to the baseline; leave-one-out cells remove one from the full set.,"The published redundancy verdict, since superseded by the fixed-budget refits; kept as the argmax endpoint of the bracket",train,validation,438.0,0.6574964844074889,0.9259572083951786,8115.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
ablation/lightgbm_ablation_card1__loo_prior_count_7d_cap15000_seed42.txt,ablation_cell,B1,ablation_panel,False,One cell of the per-feature ablation localising which of the four card1 summaries carries the gain. Singleton cells add one feature to the baseline; leave-one-out cells remove one from the full set.,"The published redundancy verdict, since superseded by the fixed-budget refits; kept as the argmax endpoint of the bracket",train,validation,438.0,0.6545057174488698,0.9240923812360863,7412.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
ablation/lightgbm_ablation_card1__loo_prior_count_cap15000_seed42.txt,ablation_cell,B1,ablation_panel,False,One cell of the per-feature ablation localising which of the four card1 summaries carries the gain. Singleton cells add one feature to the baseline; leave-one-out cells remove one from the full set.,"The published redundancy verdict, since superseded by the fixed-budget refits; kept as the argmax endpoint of the bracket",train,validation,438.0,0.6560435797561099,0.9259187355696641,8213.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
ablation/lightgbm_ablation_card1__loo_time_since_previous_hours_cap15000_seed42.txt,ablation_cell,B1,ablation_panel,False,One cell of the per-feature ablation localising which of the four card1 summaries carries the gain. Singleton cells add one feature to the baseline; leave-one-out cells remove one from the full set.,"The published redundancy verdict, since superseded by the fixed-budget refits; kept as the argmax endpoint of the bracket",train,validation,438.0,0.6559159411610237,0.9259208031333568,7703.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
ablation/lightgbm_ablation_card1__singleton_prior_count_24h_cap15000_seed42.txt,ablation_cell,B1,ablation_panel,False,One cell of the per-feature ablation localising which of the four card1 summaries carries the gain. Singleton cells add one feature to the baseline; leave-one-out cells remove one from the full set.,"The published redundancy verdict, since superseded by the fixed-budget refits; kept as the argmax endpoint of the bracket",train,validation,436.0,0.6540712125338971,0.9277737091352471,6155.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
ablation/lightgbm_ablation_card1__singleton_prior_count_7d_cap15000_seed42.txt,ablation_cell,B1,ablation_panel,False,One cell of the per-feature ablation localising which of the four card1 summaries carries the gain. Singleton cells add one feature to the baseline; leave-one-out cells remove one from the full set.,"The published redundancy verdict, since superseded by the fixed-budget refits; kept as the argmax endpoint of the bracket",train,validation,436.0,0.6577062330543604,0.9253991775662052,9137.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
